"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1400000US18097310103","Census Tract 3101.03, Marion County, Indiana","7878","688","7399","614","4725","532","2208","294","0","17","241","77","0","17","0","17","225","143","0","17","225","143","479","455","310","417","0","17","19","30","0","17","0","17","132","162","18","30","0","17","18","30",
"1400000US18097310104","Census Tract 3101.04, Marion County, Indiana","2934","321","2835","323","2273","291","511","159","0","12","24","30","0","12","0","12","27","35","0","12","27","35","99","78","64","63","0","12","0","12","0","12","0","12","25","41","10","17","0","12","10","17",
"1400000US18097310105","Census Tract 3101.05, Marion County, Indiana","3766","287","3432","281","1931","264","1419","237","29","45","18","21","0","12","0","12","35","33","0","12","35","33","334","256","64","95","29","22","0","12","0","12","0","12","215","219","26","40","0","12","26","40",
"1400000US18097310106","Census Tract 3101.06, Marion County, Indiana","4184","417","3181","413","1627","288","1334","337","0","12","32","36","0","12","0","12","188","214","0","12","188","214","1003","482","540","403","23","30","0","12","0","12","0","12","307","284","133","166","0","12","133","166",
"1400000US18097310108","Census Tract 3101.08, Marion County, Indiana","3290","319","3154","319","2540","265","377","234","19","29","126","65","0","12","0","12","92","63","0","12","92","63","136","139","136","139","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12",
"1400000US18097310110","Census Tract 3101.10, Marion County, Indiana","3064","256","2944","268","1396","198","1297","231","0","12","172","110","0","12","0","12","79","69","0","12","79","69","120","139","10","15","10","15","0","12","0","12","0","12","100","139","0","12","0","12","0","12",
"1400000US18097310111","Census Tract 3101.11, Marion County, Indiana","3965","477","3639","492","1226","281","2064","420","0","12","101","101","0","12","0","12","248","163","0","12","248","163","326","193","185","172","26","43","0","12","0","12","0","12","96","80","19","21","19","21","0","12",
"1400000US18097310201","Census Tract 3102.01, Marion County, Indiana","3886","491","3332","459","1499","226","1746","336","0","12","0","12","0","12","7","12","80","66","18","28","62","61","554","258","294","214","0","12","0","12","0","12","0","12","191","238","69","117","8","12","61","117",
"1400000US18097310203","Census Tract 3102.03, Marion County, Indiana","5611","669","4453","541","1729","260","2503","479","0","17","60","64","0","17","10","32","151","165","0","17","151","165","1158","499","798","388","91","106","0","17","0","17","0","17","218","337","51","93","51","93","0","17",
"1400000US18097310204","Census Tract 3102.04, Marion County, Indiana","5830","660","5254","536","1003","179","3802","514","0","17","176","134","0","17","0","17","273","194","0","17","273","194","576","468","409","370","14","21","22","32","0","17","0","17","26","41","105","152","0","17","105","152",
"1400000US18097310305","Census Tract 3103.05, Marion County, Indiana","5956","740","4608","625","992","239","2967","588","0","17","263","211","0","17","59","96","327","369","0","17","327","369","1348","560","754","461","20","32","0","17","0","17","0","17","549","432","25","41","25","41","0","17",
"1400000US18097310306","Census Tract 3103.06, Marion County, Indiana","5956","870","4764","924","513","190","3955","900","0","17","118","118","0","17","124","145","54","58","0","17","54","58","1192","496","340","211","18","32","11","20","0","17","0","17","766","589","57","71","57","71","0","17",
"1400000US18097310308","Census Tract 3103.08, Marion County, Indiana","3438","468","2914","520","642","214","1915","455","5","8","96","75","0","12","0","12","256","183","0","12","256","183","524","208","123","128","0","12","0","12","0","12","0","12","335","195","66","103","17","27","49","99",
"1400000US18097310309","Census Tract 3103.09, Marion County, Indiana","3837","513","3670","471","642","238","2906","530","0","12","76","94","0","12","19","33","27","31","0","12","27","31","167","221","11","16","0","12","0","12","0","12","0","12","156","219","0","12","0","12","0","12",
"1400000US18097310310","Census Tract 3103.10, Marion County, Indiana","5056","469","4639","437","1457","230","2998","418","0","17","84","88","0","17","0","17","100","70","0","17","100","70","417","286","13","19","0","17","0","17","0","17","0","17","404","285","0","17","0","17","0","17",
"1400000US18097310311","Census Tract 3103.11, Marion County, Indiana","6477","576","5884","605","1568","245","4037","630","0","17","109","138","0","17","0","17","170","128","44","61","126","116","593","162","350","191","0","17","0","17","0","17","0","17","94","92","149","163","99","139","50","85",
"1400000US18097310312","Census Tract 3103.12, Marion County, Indiana","7215","621","5146","731","1178","420","3488","867","0","17","92","112","0","17","0","17","388","361","0","17","388","361","2069","882","1001","676","0","17","0","17","0","17","0","17","1068","877","0","17","0","17","0","17",
"1400000US18097320105","Census Tract 3201.05, Marion County, Indiana","4581","362","4172","461","2554","436","950","317","0","12","313","301","0","12","71","83","284","147","45","73","239","158","409","357","409","357","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12",
"1400000US18097320106","Census Tract 3201.06, Marion County, Indiana","2557","209","2392","228","1380","247","693","191","0","12","154","211","0","12","0","12","165","188","20","27","145","162","165","146","12","14","88","137","0","12","0","12","8","17","46","51","11","18","11","18","0","12",
"1400000US18097320107","Census Tract 3201.07, Marion County, Indiana","1997","145","1947","145","1678","166","228","131","0","12","41","43","0","12","0","12","0","12","0","12","0","12","50","28","50","28","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12",
"1400000US18097320108","Census Tract 3201.08, Marion County, Indiana","5642","592","4855","611","2075","294","2505","584","0","17","150","108","0","17","22","37","103","110","0","17","103","110","787","538","297","342","2","4","0","17","0","17","0","17","219","249","269","294","269","294","0","17",
"1400000US18097320109","Census Tract 3201.09, Marion County, Indiana","2452","231","2408","233","1856","203","243","138","34","56","257","135","0","12","0","12","18","25","0","12","18","25","44","57","44","57","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12",
"1400000US18097320202","Census Tract 3202.02, Marion County, Indiana","4548","332","4398","356","4097","337","91","81","18","33","125","156","0","12","5","12","62","52","0","12","62","52","150","121","138","117","0","12","0","12","0","12","0","12","7","11","5","8","5","8","0","12",
"1400000US18097320203","Census Tract 3202.03, Marion County, Indiana","2756","236","2689","245","2098","241","381","120","0","12","180","96","0","12","0","12","30","28","0","12","30","28","67","63","35","39","0","12","0","12","0","12","0","12","4","10","28","35","28","35","0","12",
"1400000US18097320204","Census Tract 3202.04, Marion County, Indiana","5791","724","5578","724","3361","592","1357","525","13","22","677","417","0","17","0","17","170","174","0","17","170","174","213","121","137","103","0","17","0","17","0","17","0","17","76","63","0","17","0","17","0","17",
"1400000US18097320301","Census Tract 3203.01, Marion County, Indiana","3264","225","3253","224","2967","250","161","140","0","12","106","96","0","12","0","12","19","28","0","12","19","28","11","16","11","16","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12",
"1400000US18097320303","Census Tract 3203.03, Marion County, Indiana","3520","364","3242","358","1939","286","953","341","0","12","215","146","0","12","9","14","126","66","32","28","94","58","278","150","230","144","28","29","0","12","0","12","0","12","9","13","11","18","0","12","11","18",
"1400000US18097320304","Census Tract 3203.04, Marion County, Indiana","6947","364","6634","409","5748","422","567","131","0","17","102","86","0","17","33","49","184","122","0","17","184","122","313","235","167","154","0","17","0","17","0","17","0","17","131","169","15","25","15","25","0","17",
"1400000US18097320400","Census Tract 3204, Marion County, Indiana","2888","391","2769","372","1902","300","561","168","16","26","129","139","0","12","9","16","152","167","0","12","152","167","119","74","67","66","27","33","8","13","0","12","0","12","17","27","0","12","0","12","0","12",
"1400000US18097320500","Census Tract 3205, Marion County, Indiana","3322","318","3184","322","2678","343","457","232","0","12","41","30","0","12","0","12","8","12","0","12","8","12","138","121","63","75","0","12","0","12","0","12","0","12","0","12","75","96","58","93","17","19",
"1400000US18097320600","Census Tract 3206, Marion County, Indiana","2323","217","2271","215","2155","208","53","42","0","12","32","37","0","12","8","13","23","22","0","12","23","22","52","37","30","28","0","12","0","12","0","12","0","12","22","24","0","12","0","12","0","12",
"1400000US18097320700","Census Tract 3207, Marion County, Indiana","2004","210","2004","210","1892","221","66","74","22","33","18","30","0","12","0","12","6","10","0","12","6","10","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12",
"1400000US18097320800","Census Tract 3208, Marion County, Indiana","2985","157","2943","159","2686","170","144","110","0","12","66","37","0","12","1","4","46","31","0","12","46","31","42","24","27","19","0","12","0","12","0","12","0","12","10","11","5","7","0","12","5","7",
"1400000US18097320901","Census Tract 3209.01, Marion County, Indiana","6934","859","6336","601","4295","574","1371","410","0","17","87","72","0","17","65","103","518","572","0","17","518","572","598","610","146","114","373","532","0","17","0","17","0","17","79","89","0","17","0","17","0","17",
"1400000US18097320902","Census Tract 3209.02, Marion County, Indiana","4249","616","3502","543","1115","213","2157","514","0","12","112","122","5","7","14","21","99","64","24","25","75","61","747","259","219","166","27","41","0","12","0","12","0","12","395","226","106","116","106","116","0","12",
