"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree",
"1400000US18097310104","Census Tract 3101.04, Marion County, Indiana","2451","497","80","126","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","17","29","0","12","1","5","308","138","15","19","97","79","292","135","136","95","837","240","370","299","199","261","99","93",
"1400000US18097310105","Census Tract 3101.05, Marion County, Indiana","2696","470","36","43","0","12","0","12","0","12","0","12","0","12","0","12","0","12","11","18","0","12","0","12","46","52","10","17","7","15","25","29","492","169","87","73","181","98","621","295","188","66","777","188","202","77","0","12","13","15",
"1400000US18097310106","Census Tract 3101.06, Marion County, Indiana","2934","582","4","8","0","12","0","12","0","12","0","12","0","12","0","12","0","12","18","34","0","12","42","61","73","60","61","93","23","31","59","67","399","182","101","107","165","89","398","176","271","211","761","263","164","97","66","74","329","443",
"1400000US18097310108","Census Tract 3101.08, Marion County, Indiana","2941","493","3","6","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","64","59","3","6","12","19","211","92","54","43","139","69","268","126","136","59","1172","485","541","112","210","61","128","71",
"1400000US18097310110","Census Tract 3101.10, Marion County, Indiana","1821","218","39","42","8","13","6","11","0","12","0","12","0","12","0","12","0","12","0","12","0","12","35","47","0","12","0","12","8","13","8","13","160","81","29","33","101","65","262","86","233","149","575","141","212","98","119","61","26","25",
"1400000US18097310111","Census Tract 3101.11, Marion County, Indiana","2387","343","71","82","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","7","14","5","13","21","34","13","19","64","62","0","12","494","169","130","83","199","84","386","159","225","103","507","203","232","139","33","36","0","12",
"1400000US18097310112","Census Tract 3101.12, Marion County, Indiana","5087","837","0","17","0","17","13","19","0","17","0","17","0","17","0","17","0","17","0","17","0","17","18","29","0","17","90","103","15","23","19","33","455","179","190","161","192","114","485","146","368","153","1830","615","791","540","365","146","256","155",
"1400000US18097310113","Census Tract 3101.13, Marion County, Indiana","653","83","4","4","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","15","23","0","12","96","66","82","50","92","46","163","87","129","54","0","12","72","58",
"1400000US18097310201","Census Tract 3102.01, Marion County, Indiana","2680","352","38","46","0","12","0","12","0","12","0","12","8","17","0","12","0","12","38","46","0","12","11","19","12","15","25","28","44","65","117","83","604","215","7","11","196","125","284","84","213","127","746","196","304","139","19","31","14","16",
