"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)",
"1400000US18097310104","Census Tract 3101.04, Marion County, Indiana","51264","11533",
"1400000US18097310105","Census Tract 3101.05, Marion County, Indiana","54766","13901",
"1400000US18097310106","Census Tract 3101.06, Marion County, Indiana","41974","9491",
"1400000US18097310108","Census Tract 3101.08, Marion County, Indiana","115417","38962",
"1400000US18097310110","Census Tract 3101.10, Marion County, Indiana","52218","4796",
"1400000US18097310111","Census Tract 3101.11, Marion County, Indiana","43347","4311",
"1400000US18097310112","Census Tract 3101.12, Marion County, Indiana","139690","10687",
"1400000US18097310113","Census Tract 3101.13, Marion County, Indiana","122714","38697",
"1400000US18097310201","Census Tract 3102.01, Marion County, Indiana","56500","12646",
"1400000US18097310203","Census Tract 3102.03, Marion County, Indiana","62373","9135",
"1400000US18097310204","Census Tract 3102.04, Marion County, Indiana","69390","17619",
"1400000US18097310305","Census Tract 3103.05, Marion County, Indiana","39891","3292",
"1400000US18097310306","Census Tract 3103.06, Marion County, Indiana","43377","10209",
"1400000US18097310308","Census Tract 3103.08, Marion County, Indiana","60027","8473",
"1400000US18097310309","Census Tract 3103.09, Marion County, Indiana","44483","5692",
"1400000US18097310310","Census Tract 3103.10, Marion County, Indiana","57621","13673",
"1400000US18097310311","Census Tract 3103.11, Marion County, Indiana","69673","7856",
"1400000US18097310312","Census Tract 3103.12, Marion County, Indiana","43484","4439",
"1400000US18097320105","Census Tract 3201.05, Marion County, Indiana","60238","8269",
"1400000US18097320106","Census Tract 3201.06, Marion County, Indiana","61618","3301",
"1400000US18097320107","Census Tract 3201.07, Marion County, Indiana","104276","25812",
"1400000US18097320108","Census Tract 3201.08, Marion County, Indiana","32868","8026",
"1400000US18097320109","Census Tract 3201.09, Marion County, Indiana","56486","20133",
"1400000US18097320202","Census Tract 3202.02, Marion County, Indiana","82500","14590",
"1400000US18097320203","Census Tract 3202.03, Marion County, Indiana","44309","8302",
"1400000US18097320205","Census Tract 3202.05, Marion County, Indiana","43589","15464",
"1400000US18097320206","Census Tract 3202.06, Marion County, Indiana","33808","2866",
"1400000US18097320301","Census Tract 3203.01, Marion County, Indiana","81179","15775",
"1400000US18097320303","Census Tract 3203.03, Marion County, Indiana","52415","15276",
"1400000US18097320305","Census Tract 3203.05, Marion County, Indiana","107780","12965",
"1400000US18097320306","Census Tract 3203.06, Marion County, Indiana","61707","24630",
"1400000US18097320400","Census Tract 3204, Marion County, Indiana","55000","11751",
"1400000US18097320500","Census Tract 3205, Marion County, Indiana","58345","14391",
"1400000US18097320600","Census Tract 3206, Marion County, Indiana","63300","12830",
"1400000US18097320700","Census Tract 3207, Marion County, Indiana","95865","11836",
"1400000US18097320800","Census Tract 3208, Marion County, Indiana","153677","5266",
"1400000US18097320901","Census Tract 3209.01, Marion County, Indiana","76298","5776",
"1400000US18097320902","Census Tract 3209.02, Marion County, Indiana","36659","11998",
"1400000US18097320903","Census Tract 3209.03, Marion County, Indiana","33447","8692",
"1400000US18097321001","Census Tract 3210.01, Marion County, Indiana","63258","25403",
"1400000US18097321002","Census Tract 3210.02, Marion County, Indiana","77857","11762",
"1400000US18097321100","Census Tract 3211, Marion County, Indiana","75143","4835",
"1400000US18097321200","Census Tract 3212, Marion County, Indiana","142557","38177",
