"GEO_ID","NAME","B23025_001E","B23025_001M","B23025_002E","B23025_002M","B23025_003E","B23025_003M","B23025_004E","B23025_004M","B23025_005E","B23025_005M","B23025_006E","B23025_006M","B23025_007E","B23025_007M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!In labor force","Margin of Error!!Total!!In labor force","Estimate!!Total!!In labor force!!Civilian labor force","Margin of Error!!Total!!In labor force!!Civilian labor force","Estimate!!Total!!In labor force!!Civilian labor force!!Employed","Margin of Error!!Total!!In labor force!!Civilian labor force!!Employed","Estimate!!Total!!In labor force!!Civilian labor force!!Unemployed","Margin of Error!!Total!!In labor force!!Civilian labor force!!Unemployed","Estimate!!Total!!In labor force!!Armed Forces","Margin of Error!!Total!!In labor force!!Armed Forces","Estimate!!Total!!Not in labor force","Margin of Error!!Total!!Not in labor force",
"1400000US18097310103","Census Tract 3101.03, Marion County, Indiana","5931","477","3958","324","3958","324","3806","328","152","85","0","16","1973","411",
"1400000US18097310104","Census Tract 3101.04, Marion County, Indiana","2845","238","1839","208","1839","208","1691","211","148","98","0","11","1006","156",
"1400000US18097310105","Census Tract 3101.05, Marion County, Indiana","2866","216","2117","218","2108","219","2044","216","64","52","9","14","749","126",
"1400000US18097310106","Census Tract 3101.06, Marion County, Indiana","3295","326","2389","323","2389","323","2186","277","203","144","0","11","906","190",
"1400000US18097310108","Census Tract 3101.08, Marion County, Indiana","2949","222","1859","190","1859","190","1793","192","66","38","0","11","1090","181",
"1400000US18097310110","Census Tract 3101.10, Marion County, Indiana","2305","202","1878","164","1878","164","1761","154","117","82","0","11","427","137",
"1400000US18097310111","Census Tract 3101.11, Marion County, Indiana","3056","284","2099","292","2099","292","1996","297","103","73","0","11","957","290",
"1400000US18097310201","Census Tract 3102.01, Marion County, Indiana","2805","321","2022","290","2022","290","1948","280","74","46","0","11","783","189",
"1400000US18097310203","Census Tract 3102.03, Marion County, Indiana","4443","491","3051","558","3051","558","2742","467","309","203","0","16","1392","323",
"1400000US18097310204","Census Tract 3102.04, Marion County, Indiana","4278","374","3057","291","3057","291","2826","288","231","104","0","16","1221","206",
"1400000US18097310305","Census Tract 3103.05, Marion County, Indiana","4992","437","3570","471","3570","471","3072","452","498","283","0","16","1422","311",
"1400000US18097310306","Census Tract 3103.06, Marion County, Indiana","4454","655","3223","568","3223","568","2949","578","274","132","0","16","1231","299",
"1400000US18097310308","Census Tract 3103.08, Marion County, Indiana","2658","293","1770","218","1770","218","1725","212","45","43","0","11","888","202",
"1400000US18097310309","Census Tract 3103.09, Marion County, Indiana","2939","360","2307","388","2307","388","2183","366","124","105","0","11","632","183",
"1400000US18097310310","Census Tract 3103.10, Marion County, Indiana","3731","290","2783","233","2783","233","2574","251","209","100","0","11","948","210",
"1400000US18097310311","Census Tract 3103.11, Marion County, Indiana","4317","277","3151","275","3151","275","2937","271","214","92","0","16","1166","187",
"1400000US18097310312","Census Tract 3103.12, Marion County, Indiana","4505","446","3498","418","3498","418","3135","399","363","177","0","16","1007","291",
"1400000US18097320105","Census Tract 3201.05, Marion County, Indiana","3491","440","2585","402","2572","401","2500","409","72","67","13","21","906","197",
"1400000US18097320106","Census Tract 3201.06, Marion County, Indiana","1773","192","1059","176","1059","176","1009","176","50","43","0","11","714","120",
"1400000US18097320107","Census Tract 3201.07, Marion County, Indiana","1588","119","1125","123","1125","123","1094","126","31","26","0","11","463","74",
"1400000US18097320108","Census Tract 3201.08, Marion County, Indiana","3715","394","2890","364","2890","364","2737","355","153","111","0","16","825","244",
"1400000US18097320109","Census Tract 3201.09, Marion County, Indiana","2240","156","1408","186","1408","186","1376","185","32","30","0","11","832","144",
"1400000US18097320202","Census Tract 3202.02, Marion County, Indiana","3497","305","2210","267","2210","267","2103","275","107","68","0","11","1287","216",
"1400000US18097320203","Census Tract 3202.03, Marion County, Indiana","2805","191","1892","197","1892","197","1874","196","18","27","0","11","913","175",
"1400000US18097320204","Census Tract 3202.04, Marion County, Indiana","4266","371","3228","366","3228","366","3053","353","175","112","0","16","1038","215",
"1400000US18097320301","Census Tract 3203.01, Marion County, Indiana","3026","195","1888","193","1888","193","1830","197","58","43","0","11","1138","143",
"1400000US18097320303","Census Tract 3203.03, Marion County, Indiana","3074","261","2790","245","2759","244","2600","248","159","92","31","46","284","100",
