"GEO_ID","NAME","B25024_001E","B25024_001M","B25024_002E","B25024_002M","B25024_003E","B25024_003M","B25024_004E","B25024_004M","B25024_005E","B25024_005M","B25024_006E","B25024_006M","B25024_007E","B25024_007M","B25024_008E","B25024_008M","B25024_009E","B25024_009M","B25024_010E","B25024_010M","B25024_011E","B25024_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!1, detached","Margin of Error!!Total:!!1, detached","Estimate!!Total:!!1, attached","Margin of Error!!Total:!!1, attached","Estimate!!Total:!!2","Margin of Error!!Total:!!2","Estimate!!Total:!!3 or 4","Margin of Error!!Total:!!3 or 4","Estimate!!Total:!!5 to 9","Margin of Error!!Total:!!5 to 9","Estimate!!Total:!!10 to 19","Margin of Error!!Total:!!10 to 19","Estimate!!Total:!!20 to 49","Margin of Error!!Total:!!20 to 49","Estimate!!Total:!!50 or more","Margin of Error!!Total:!!50 or more","Estimate!!Total:!!Mobile home","Margin of Error!!Total:!!Mobile home","Estimate!!Total:!!Boat, RV, van, etc.","Margin of Error!!Total:!!Boat, RV, van, etc.",
"1400000US18097310104","Census Tract 3101.04, Marion County, Indiana","2181","433","361","120","608","274","0","12","361","169","183","83","48","36","124","131","306","104","190","286","0","12",
"1400000US18097310105","Census Tract 3101.05, Marion County, Indiana","1776","284","1185","277","120","60","19","23","8","13","127","67","115","64","22","22","158","71","0","12","22","34",
"1400000US18097310106","Census Tract 3101.06, Marion County, Indiana","2377","454","225","70","144","78","25","27","292","141","947","492","443","181","28","32","273","129","0","12","0","12",
"1400000US18097310108","Census Tract 3101.08, Marion County, Indiana","1680","238","1091","253","330","85","46","33","81","58","90","58","42","41","0","12","0","12","0","12","0","12",
"1400000US18097310110","Census Tract 3101.10, Marion County, Indiana","1380","89","584","94","79","54","0","12","195","93","351","92","152","65","0","12","19","21","0","12","0","12",
"1400000US18097310111","Census Tract 3101.11, Marion County, Indiana","1639","95","560","131","69","45","27","43","215","91","381","117","363","131","9","14","15","23","0","12","0","12",
"1400000US18097310112","Census Tract 3101.12, Marion County, Indiana","2628","505","2316","512","109","61","0","17","14","25","174","74","0","17","0","17","15","24","0","17","0","17",
"1400000US18097310113","Census Tract 3101.13, Marion County, Indiana","355","34","355","34","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12",
"1400000US18097310201","Census Tract 3102.01, Marion County, Indiana","1650","157","1186","166","47","49","30","47","119","76","160","106","50","45","8","13","50","39","0","12","0","12",
"1400000US18097310203","Census Tract 3102.03, Marion County, Indiana","2213","181","924","148","489","167","36","58","223","119","103","79","111","112","15","23","312","134","0","17","0","17",
"1400000US18097310204","Census Tract 3102.04, Marion County, Indiana","1920","252","1482","269","67","57","9","14","84","62","15","22","124","77","120","64","9","16","10","15","0","17",
"1400000US18097310305","Census Tract 3103.05, Marion County, Indiana","2573","201","966","181","137","101","13","24","334","135","193","143","466","168","206","138","258","135","0","17","0","17",
"1400000US18097310306","Census Tract 3103.06, Marion County, Indiana","2739","405","1057","264","403","246","0","17","250","137","495","251","404","196","36","58","33","37","61","97","0","17",
"1400000US18097310308","Census Tract 3103.08, Marion County, Indiana","1239","99","959","116","0","12","0","12","248","99","4","7","0","12","28","45","0","12","0","12","0","12",
"1400000US18097310309","Census Tract 3103.09, Marion County, Indiana","1655","127","478","117","219","102","45","54","216","121","394","174","158","100","22","34","123","119","0","12","0","12",
"1400000US18097310310","Census Tract 3103.10, Marion County, Indiana","2128","509","1727","427","83","54","0","17","44","54","266","288","8","14","0","17","0","17","0","17","0","17",
"1400000US18097310311","Census Tract 3103.11, Marion County, Indiana","1882","168","1835","164","39","49","0","17","8","13","0","17","0","17","0","17","0","17","0","17","0","17",
"1400000US18097310312","Census Tract 3103.12, Marion County, Indiana","2846","315","670","179","823","255","49","78","453","283","519","227","25","33","151","169","156","111","0","17","0","17",
"1400000US18097320105","Census Tract 3201.05, Marion County, Indiana","1945","122","561","141","424","117","51","61","376","145","323","143","210","126","0","12","0","12","0","12","0","12",
"1400000US18097320106","Census Tract 3201.06, Marion County, Indiana","1369","402","538","93","155","61","64","74","473","433","58","41","29","27","43","48","9","15","0","12","0","12",
"1400000US18097320107","Census Tract 3201.07, Marion County, Indiana","890","107","524","66","197","45","59","90","11","16","0","12","10","10","84","35","5","7","0","12","0","12",
"1400000US18097320108","Census Tract 3201.08, Marion County, Indiana","2444","156","328","129","276","174","177","146","329","189","836","202","97","114","114","86","287","130","0","17","0","17",
"1400000US18097320109","Census Tract 3201.09, Marion County, Indiana","1367","304","758","114","149","46","0","12","65","53","231","304","48","52","115","80","1","2","0","12","0","12",
"1400000US18097320202","Census Tract 3202.02, Marion County, Indiana","2871","387","1261","316","453","109","0","17","18","29","313","164","259","111","111","82","456","178","0","17","0","17",
"1400000US18097320203","Census Tract 3202.03, Marion County, Indiana","1838","225","302","112","27","20","9","14","537","182","463","134","99","50","79","54","322","104","0","12","0","12",
"1400000US18097320205","Census Tract 3202.05, Marion County, Indiana","1524","181","153","80","0","12","0","12","65","50","714","136","226","94","139","117","227","110","0","12","0","12",
"1400000US18097320206","Census Tract 3202.06, Marion County, Indiana","1742","365","397","127","53","41","0","12","598","366","350","123","41","49","0","12","303","86","0","12","0","12",
"1400000US18097320301","Census Tract 3203.01, Marion County, Indiana","1948","186","856","168","622","110","0","12","353","98","38","38","13","15","14","17","52","56","0","12","0","12",
"1400000US18097320303","Census Tract 3203.03, Marion County, Indiana","1904","165","28","24","7","11","9","14","138","72","989","183","600","162","97","52","36","25","0","12","0","12",
"1400000US18097320305","Census Tract 3203.05, Marion County, Indiana","1053","119","1003","120","0","12","0","12","32","37","0","12","0","12","0","12","18","32","0","12","0","12",
"1400000US18097320306","Census Tract 3203.06, Marion County, Indiana","2379","325","835","180","205","87","51","84","174","84","300","141","545","264","240","101","29","34","0","12","0","12",
"1400000US18097320400","Census Tract 3204, Marion County, Indiana","1566","230","697","157","40","46","8","16","308","186","409","141","65","55","6","11","9","14","24","34","0","12",
"1400000US18097320500","Census Tract 3205, Marion County, Indiana","1497","190","825","109","0","12","35","37","328","165","114","60","36","29","75","44","84","39","0","12","0","12",
