"GEO_ID","NAME","B25024_001E","B25024_001M","B25024_002E","B25024_002M","B25024_003E","B25024_003M","B25024_004E","B25024_004M","B25024_005E","B25024_005M","B25024_006E","B25024_006M","B25024_007E","B25024_007M","B25024_008E","B25024_008M","B25024_009E","B25024_009M","B25024_010E","B25024_010M","B25024_011E","B25024_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!1, detached","Margin of Error!!Total:!!1, detached","Estimate!!Total:!!1, attached","Margin of Error!!Total:!!1, attached","Estimate!!Total:!!2","Margin of Error!!Total:!!2","Estimate!!Total:!!3 or 4","Margin of Error!!Total:!!3 or 4","Estimate!!Total:!!5 to 9","Margin of Error!!Total:!!5 to 9","Estimate!!Total:!!10 to 19","Margin of Error!!Total:!!10 to 19","Estimate!!Total:!!20 to 49","Margin of Error!!Total:!!20 to 49","Estimate!!Total:!!50 or more","Margin of Error!!Total:!!50 or more","Estimate!!Total:!!Mobile home","Margin of Error!!Total:!!Mobile home","Estimate!!Total:!!Boat, RV, van, etc.","Margin of Error!!Total:!!Boat, RV, van, etc.",
"1400000US18097310104","Census Tract 3101.04; Marion County; Indiana","2246","329","212","96","592","215","0","13","620","190","305","216","162","104","107","135","131","96","117","184","0","13",
"1400000US18097310105","Census Tract 3101.05; Marion County; Indiana","1948","356","1316","376","220","109","18","27","65","49","73","62","100","60","26","28","101","65","0","13","29","46",
"1400000US18097310106","Census Tract 3101.06; Marion County; Indiana","2336","206","136","63","147","107","0","13","236","124","878","312","478","223","120","122","341","133","0","13","0","13",
"1400000US18097310108","Census Tract 3101.08; Marion County; Indiana","1672","240","1224","243","229","73","74","57","90","73","55","35","0","13","0","13","0","13","0","13","0","13",
"1400000US18097310110","Census Tract 3101.10; Marion County; Indiana","1445","132","793","176","256","134","18","28","68","65","113","74","91","70","0","13","73","80","33","51","0","13",
"1400000US18097310111","Census Tract 3101.11; Marion County; Indiana","1610","86","627","116","27","31","9","17","116","87","231","117","544","142","0","13","42","67","14","22","0","13",
"1400000US18097310112","Census Tract 3101.12; Marion County; Indiana","2573","331","2205","342","219","120","0","18","0","18","139","74","10","16","0","18","0","18","0","18","0","18",
"1400000US18097310113","Census Tract 3101.13; Marion County; Indiana","387","29","387","29","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1400000US18097310201","Census Tract 3102.01; Marion County; Indiana","1750","157","1068","162","36","41","23","28","374","143","117","112","37","48","71","70","24","28","0","13","0","13",
"1400000US18097310203","Census Tract 3102.03; Marion County; Indiana","2347","201","782","145","545","179","193","165","54","89","111","119","211","152","195","130","256","151","0","18","0","18",
"1400000US18097310204","Census Tract 3102.04; Marion County; Indiana","1822","161","1528","185","21","25","0","13","109","84","0","13","119","91","45","36","0","13","0","13","0","13",
"1400000US18097310305","Census Tract 3103.05; Marion County; Indiana","2782","253","664","190","323","203","112","119","793","326","265","218","289","179","80","76","256","174","0","18","0","18",
"1400000US18097310306","Census Tract 3103.06; Marion County; Indiana","3281","490","1345","499","622","325","0","18","488","251","387","251","408","256","0","18","31","51","0","18","0","18",
"1400000US18097310308","Census Tract 3103.08; Marion County; Indiana","1306","86","1113","130","0","13","0","13","149","105","15","28","0","13","0","13","29","36","0","13","0","13",
"1400000US18097310309","Census Tract 3103.09; Marion County; Indiana","1861","145","538","161","278","133","20","32","575","193","171","111","105","79","0","13","174","115","0","13","0","13",
"1400000US18097310310","Census Tract 3103.10; Marion County; Indiana","1967","360","1485","250","110","53","0","18","0","18","372","306","0","18","0","18","0","18","0","18","0","18",
"1400000US18097310311","Census Tract 3103.11; Marion County; Indiana","1980","203","1980","203","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18",
"1400000US18097310312","Census Tract 3103.12; Marion County; Indiana","2988","303","433","164","889","286","14","22","349","226","666","270","323","249","200","148","88","79","26","41","0","18",
"1400000US18097320105","Census Tract 3201.05; Marion County; Indiana","2035","129","523","139","660","155","24","40","570","168","133","101","59","50","22","36","44","57","0","13","0","13",
"1400000US18097320106","Census Tract 3201.06; Marion County; Indiana","1465","467","466","123","144","82","30","51","581","495","15","23","96","105","0","13","133","100","0","13","0","13",
"1400000US18097320107","Census Tract 3201.07; Marion County; Indiana","908","124","544","83","164","59","91","102","8","12","12","14","25","22","64","38","0","13","0","13","0","13",
"1400000US18097320108","Census Tract 3201.08; Marion County; Indiana","2684","194","371","212","103","102","33","47","304","147","1164","366","158","158","190","161","361","198","0","13","0","13",
"1400000US18097320109","Census Tract 3201.09; Marion County; Indiana","1367","320","686","115","231","67","16","24","34","26","214","309","32","32","126","75","28","23","0","13","0","13",
"1400000US18097320202","Census Tract 3202.02; Marion County; Indiana","2932","340","1456","297","250","97","21","33","20","31","282","135","46","50","240","149","617","220","0","18","0","18",
"1400000US18097320203","Census Tract 3202.03; Marion County; Indiana","1940","215","376","110","39","32","57","54","557","175","404","146","136","81","78","64","293","120","0","13","0","13",
