"GEO_ID","NAME","B25001_001E","B25001_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1400000US18097310103","Census Tract 3101.03, Marion County, Indiana","2772","90",
"1400000US18097310104","Census Tract 3101.04, Marion County, Indiana","1982","114",
"1400000US18097310105","Census Tract 3101.05, Marion County, Indiana","1612","57",
"1400000US18097310106","Census Tract 3101.06, Marion County, Indiana","2200","74",
"1400000US18097310108","Census Tract 3101.08, Marion County, Indiana","1539","48",
"1400000US18097310110","Census Tract 3101.10, Marion County, Indiana","1495","61",
"1400000US18097310111","Census Tract 3101.11, Marion County, Indiana","1878","54",
"1400000US18097310201","Census Tract 3102.01, Marion County, Indiana","1665","82",
"1400000US18097310203","Census Tract 3102.03, Marion County, Indiana","2487","101",
"1400000US18097310204","Census Tract 3102.04, Marion County, Indiana","1900","66",
"1400000US18097310305","Census Tract 3103.05, Marion County, Indiana","2708","100",
"1400000US18097310306","Census Tract 3103.06, Marion County, Indiana","2460","86",
"1400000US18097310308","Census Tract 3103.08, Marion County, Indiana","1320","44",
"1400000US18097310309","Census Tract 3103.09, Marion County, Indiana","1777","57",
"1400000US18097310310","Census Tract 3103.10, Marion County, Indiana","1680","49",
"1400000US18097310311","Census Tract 3103.11, Marion County, Indiana","1939","64",
"1400000US18097310312","Census Tract 3103.12, Marion County, Indiana","3009","109",
"1400000US18097320105","Census Tract 3201.05, Marion County, Indiana","2263","100",
"1400000US18097320106","Census Tract 3201.06, Marion County, Indiana","1093","44",
"1400000US18097320107","Census Tract 3201.07, Marion County, Indiana","891","25",
"1400000US18097320108","Census Tract 3201.08, Marion County, Indiana","2740","81",
"1400000US18097320109","Census Tract 3201.09, Marion County, Indiana","1243","42",
"1400000US18097320202","Census Tract 3202.02, Marion County, Indiana","2446","75",
"1400000US18097320203","Census Tract 3202.03, Marion County, Indiana","1775","35",
"1400000US18097320204","Census Tract 3202.04, Marion County, Indiana","3192","71",
"1400000US18097320301","Census Tract 3203.01, Marion County, Indiana","1891","41",
"1400000US18097320303","Census Tract 3203.03, Marion County, Indiana","2047","59",
"1400000US18097320304","Census Tract 3203.04, Marion County, Indiana","3306","80",
"1400000US18097320400","Census Tract 3204, Marion County, Indiana","1456","59",
"1400000US18097320500","Census Tract 3205, Marion County, Indiana","1500","44",
"1400000US18097320600","Census Tract 3206, Marion County, Indiana","1271","32",
"1400000US18097320700","Census Tract 3207, Marion County, Indiana","1173","60",
"1400000US18097320800","Census Tract 3208, Marion County, Indiana","1227","62",
"1400000US18097320901","Census Tract 3209.01, Marion County, Indiana","2649","76",
"1400000US18097320902","Census Tract 3209.02, Marion County, Indiana","2062","63",
"1400000US18097320903","Census Tract 3209.03, Marion County, Indiana","1937","53",
"1400000US18097321001","Census Tract 3210.01, Marion County, Indiana","1161","40",
"1400000US18097321002","Census Tract 3210.02, Marion County, Indiana","2036","45",
"1400000US18097321100","Census Tract 3211, Marion County, Indiana","1632","60",
"1400000US18097321200","Census Tract 3212, Marion County, Indiana","2328","49",
"1400000US18097321300","Census Tract 3213, Marion County, Indiana","1452","43",
"1400000US18097321400","Census Tract 3214, Marion County, Indiana","2641","56",
"1400000US18097321600","Census Tract 3216, Marion County, Indiana","2589","65",
"1400000US18097321700","Census Tract 3217, Marion County, Indiana","2209","71",
"1400000US18097321800","Census Tract 3218, Marion County, Indiana","1654","36",
"1400000US18097321900","Census Tract 3219, Marion County, Indiana","1390","40",
"1400000US18097322000","Census Tract 3220, Marion County, Indiana","1806","72",
"1400000US18097322100","Census Tract 3221, Marion County, Indiana","1143","56",
"1400000US18097322200","Census Tract 3222, Marion County, Indiana","877","39",
"1400000US18097322300","Census Tract 3223, Marion County, Indiana","1139","54",
"1400000US18097322400","Census Tract 3224, Marion County, Indiana","1664","59",
"1400000US18097322500","Census Tract 3225, Marion County, Indiana","966","36",
"1400000US18097322600","Census Tract 3226, Marion County, Indiana","2208","71",
"1400000US18097322700","Census Tract 3227, Marion County, Indiana","1126","68",
"1400000US18097330103","Census Tract 3301.03, Marion County, Indiana","2597","105",
"1400000US18097330105","Census Tract 3301.05, Marion County, Indiana","2841","109",
"1400000US18097330106","Census Tract 3301.06, Marion County, Indiana","2762","125",
