"GEO_ID","NAME","B25001_001E","B25001_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1400000US18097310104","Census Tract 3101.04; Marion County; Indiana","2139","326",
"1400000US18097310105","Census Tract 3101.05; Marion County; Indiana","1890","374",
"1400000US18097310106","Census Tract 3101.06; Marion County; Indiana","2350","237",
"1400000US18097310108","Census Tract 3101.08; Marion County; Indiana","1688","241",
"1400000US18097310110","Census Tract 3101.10; Marion County; Indiana","1404","110",
"1400000US18097310111","Census Tract 3101.11; Marion County; Indiana","1712","104",
"1400000US18097310112","Census Tract 3101.12; Marion County; Indiana","2535","349",
"1400000US18097310113","Census Tract 3101.13; Marion County; Indiana","375","27",
"1400000US18097310201","Census Tract 3102.01; Marion County; Indiana","1697","137",
"1400000US18097310203","Census Tract 3102.03; Marion County; Indiana","2361","222",
"1400000US18097310204","Census Tract 3102.04; Marion County; Indiana","1816","140",
"1400000US18097310305","Census Tract 3103.05; Marion County; Indiana","2733","242",
"1400000US18097310306","Census Tract 3103.06; Marion County; Indiana","3087","454",
"1400000US18097310308","Census Tract 3103.08; Marion County; Indiana","1203","87",
"1400000US18097310309","Census Tract 3103.09; Marion County; Indiana","1778","153",
"1400000US18097310310","Census Tract 3103.10; Marion County; Indiana","1967","371",
"1400000US18097310311","Census Tract 3103.11; Marion County; Indiana","1932","191",
"1400000US18097310312","Census Tract 3103.12; Marion County; Indiana","2986","281",
"1400000US18097320105","Census Tract 3201.05; Marion County; Indiana","1967","113",
"1400000US18097320106","Census Tract 3201.06; Marion County; Indiana","1427","461",
"1400000US18097320107","Census Tract 3201.07; Marion County; Indiana","908","121",
"1400000US18097320108","Census Tract 3201.08; Marion County; Indiana","2541","167",
"1400000US18097320109","Census Tract 3201.09; Marion County; Indiana","1372","318",
"1400000US18097320202","Census Tract 3202.02; Marion County; Indiana","2915","347",
"1400000US18097320203","Census Tract 3202.03; Marion County; Indiana","1876","197",
"1400000US18097320205","Census Tract 3202.05; Marion County; Indiana","1583","186",
"1400000US18097320206","Census Tract 3202.06; Marion County; Indiana","1771","324",
"1400000US18097320301","Census Tract 3203.01; Marion County; Indiana","1925","197",
"1400000US18097320303","Census Tract 3203.03; Marion County; Indiana","1964","164",
"1400000US18097320305","Census Tract 3203.05; Marion County; Indiana","1060","123",
"1400000US18097320306","Census Tract 3203.06; Marion County; Indiana","2349","246",
"1400000US18097320400","Census Tract 3204; Marion County; Indiana","1551","217",
"1400000US18097320500","Census Tract 3205; Marion County; Indiana","1514","207",
"1400000US18097320600","Census Tract 3206; Marion County; Indiana","1146","89",
"1400000US18097320700","Census Tract 3207; Marion County; Indiana","1305","112",
"1400000US18097320800","Census Tract 3208; Marion County; Indiana","1294","101",
"1400000US18097320901","Census Tract 3209.01; Marion County; Indiana","2674","282",
"1400000US18097320902","Census Tract 3209.02; Marion County; Indiana","1951","135",
"1400000US18097320903","Census Tract 3209.03; Marion County; Indiana","2377","331",
"1400000US18097321001","Census Tract 3210.01; Marion County; Indiana","1093","183",
"1400000US18097321002","Census Tract 3210.02; Marion County; Indiana","2025","281",
"1400000US18097321100","Census Tract 3211; Marion County; Indiana","1706","180",
"1400000US18097321200","Census Tract 3212; Marion County; Indiana","2153","229",
"1400000US18097321300","Census Tract 3213; Marion County; Indiana","1395","132",
"1400000US18097321400","Census Tract 3214; Marion County; Indiana","2583","296",
"1400000US18097321600","Census Tract 3216; Marion County; Indiana","2617","345",
"1400000US18097321700","Census Tract 3217; Marion County; Indiana","2132","223",
"1400000US18097321800","Census Tract 3218; Marion County; Indiana","1527","127",
"1400000US18097321900","Census Tract 3219; Marion County; Indiana","1260","135",
"1400000US18097322000","Census Tract 3220; Marion County; Indiana","1882","270",
"1400000US18097322100","Census Tract 3221; Marion County; Indiana","1092","76",
"1400000US18097322200","Census Tract 3222; Marion County; Indiana","898","102",
"1400000US18097322300","Census Tract 3223; Marion County; Indiana","1104","176",
"1400000US18097322400","Census Tract 3224; Marion County; Indiana","1785","244",
"1400000US18097322500","Census Tract 3225; Marion County; Indiana","954","85",
"1400000US18097322601","Census Tract 3226.01; Marion County; Indiana","1339","96",
"1400000US18097322602","Census Tract 3226.02; Marion County; Indiana","864","159",
"1400000US18097322700","Census Tract 3227; Marion County; Indiana","1114","193",
"1400000US18097330103","Census Tract 3301.03; Marion County; Indiana","2304","261",
"1400000US18097330105","Census Tract 3301.05; Marion County; Indiana","2795","445",
"1400000US18097330106","Census Tract 3301.06; Marion County; Indiana","2704","270",
"1400000US18097330107","Census Tract 3301.07; Marion County; Indiana","2368","283",
"1400000US18097330108","Census Tract 3301.08; Marion County; Indiana","1623","266",
"1400000US18097330109","Census Tract 3301.09; Marion County; Indiana","2098","253",
"1400000US18097330203","Census Tract 3302.03; Marion County; Indiana","1894","182",
"1400000US18097330204","Census Tract 3302.04; Marion County; Indiana","2213","267",
"1400000US18097330206","Census Tract 3302.06; Marion County; Indiana","1852","238",
"1400000US18097330208","Census Tract 3302.08; Marion County; Indiana","1309","179",
"1400000US18097330210","Census Tract 3302.10; Marion County; Indiana","2324","359",
"1400000US18097330211","Census Tract 3302.11; Marion County; Indiana","2123","120",
"1400000US18097330212","Census Tract 3302.12; Marion County; Indiana","1841","274",
"1400000US18097330213","Census Tract 3302.13; Marion County; Indiana","1646","346",
"1400000US18097330401","Census Tract 3304.01; Marion County; Indiana","2278","210",
"1400000US18097330500","Census Tract 3305; Marion County; Indiana","2756","357",
"1400000US18097330600","Census Tract 3306; Marion County; Indiana","2623","558",
"1400000US18097330701","Census Tract 3307.01; Marion County; Indiana","1096","316",
"1400000US18097330702","Census Tract 3307.02; Marion County; Indiana","1536","205",
"1400000US18097330803","Census Tract 3308.03; Marion County; Indiana","2158","372",
"1400000US18097330804","Census Tract 3308.04; Marion County; Indiana","1551","204",
"1400000US18097330805","Census Tract 3308.05; Marion County; Indiana","1352","118",
"1400000US18097330806","Census Tract 3308.06; Marion County; Indiana","1770","279",
"1400000US18097330900","Census Tract 3309; Marion County; Indiana","3096","429",
"1400000US18097331000","Census Tract 3310; Marion County; Indiana","1866","241",
"1400000US18097340101","Census Tract 3401.01; Marion County; Indiana","2043","307",
"1400000US18097340102","Census Tract 3401.02; Marion County; Indiana","2202","190",
"1400000US18097340108","Census Tract 3401.08; Marion County; Indiana","1459","171",
"1400000US18097340111","Census Tract 3401.11; Marion County; Indiana","983","90",
"1400000US18097340112","Census Tract 3401.12; Marion County; Indiana","2629","179",
"1400000US18097340113","Census Tract 3401.13; Marion County; Indiana","1757","206",
"1400000US18097340114","Census Tract 3401.14; Marion County; Indiana","1719","172",
"1400000US18097340115","Census Tract 3401.15; Marion County; Indiana","3163","274",
"1400000US18097340201","Census Tract 3402.01; Marion County; Indiana","1242","162",
"1400000US18097340202","Census Tract 3402.02; Marion County; Indiana","2074","165",
"1400000US18097340301","Census Tract 3403.01; Marion County; Indiana","1217","311",
"1400000US18097340302","Census Tract 3403.02; Marion County; Indiana","1793","289",
"1400000US18097340400","Census Tract 3404; Marion County; Indiana","1484","176",
"1400000US18097340500","Census Tract 3405; Marion County; Indiana","2294","352",
"1400000US18097340600","Census Tract 3406; Marion County; Indiana","2035","192",
"1400000US18097340700","Census Tract 3407; Marion County; Indiana","1592","204",
"1400000US18097340800","Census Tract 3408; Marion County; Indiana","848","115",
"1400000US18097340901","Census Tract 3409.01; Marion County; Indiana","1312","123",
"1400000US18097340903","Census Tract 3409.03; Marion County; Indiana","1161","252",
"1400000US18097340904","Census Tract 3409.04; Marion County; Indiana","2586","298",
"1400000US18097341000","Census Tract 3410; Marion County; Indiana","834","100",
"1400000US18097341100","Census Tract 3411; Marion County; Indiana","982","97",
"1400000US18097341200","Census Tract 3412; Marion County; Indiana","1158","138",
"1400000US18097341600","Census Tract 3416; Marion County; Indiana","1010","178",
"1400000US18097341701","Census Tract 3417.01; Marion County; Indiana","1139","152",
"1400000US18097341702","Census Tract 3417.02; Marion County; Indiana","937","200",
"1400000US18097341902","Census Tract 3419.02; Marion County; Indiana","1729","210",
"1400000US18097341903","Census Tract 3419.03; Marion County; Indiana","2503","214",
"1400000US18097341904","Census Tract 3419.04; Marion County; Indiana","1001","84",
"1400000US18097342000","Census Tract 3420; Marion County; Indiana","2199","284",
