"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 10.0 percent","Margin of Error!!Total:!!Less than 10.0 percent","Estimate!!Total:!!10.0 to 14.9 percent","Margin of Error!!Total:!!10.0 to 14.9 percent","Estimate!!Total:!!15.0 to 19.9 percent","Margin of Error!!Total:!!15.0 to 19.9 percent","Estimate!!Total:!!20.0 to 24.9 percent","Margin of Error!!Total:!!20.0 to 24.9 percent","Estimate!!Total:!!25.0 to 29.9 percent","Margin of Error!!Total:!!25.0 to 29.9 percent","Estimate!!Total:!!30.0 to 34.9 percent","Margin of Error!!Total:!!30.0 to 34.9 percent","Estimate!!Total:!!35.0 to 39.9 percent","Margin of Error!!Total:!!35.0 to 39.9 percent","Estimate!!Total:!!40.0 to 49.9 percent","Margin of Error!!Total:!!40.0 to 49.9 percent","Estimate!!Total:!!50.0 percent or more","Margin of Error!!Total:!!50.0 percent or more","Estimate!!Total:!!Not computed","Margin of Error!!Total:!!Not computed",
"1400000US18097310104","Census Tract 3101.04, Marion County, Indiana","943","265","35","44","199","208","143","80","226","131","138","95","19","32","12","19","0","12","109","77","62","46",
"1400000US18097310105","Census Tract 3101.05, Marion County, Indiana","837","365","16","22","44","42","70","42","56","39","112","52","356","361","19","22","98","69","66","62","0","12",
"1400000US18097310106","Census Tract 3101.06, Marion County, Indiana","1953","249","123","162","210","121","251","109","339","203","315","199","190","137","81","70","100","88","272","121","72","74",
"1400000US18097310108","Census Tract 3101.08, Marion County, Indiana","297","93","6","10","31","28","79","61","11","17","23","35","44","41","27","40","9","14","61","45","6","11",
"1400000US18097310110","Census Tract 3101.10, Marion County, Indiana","823","108","51","64","95","60","91","59","79","55","184","90","62","54","19","23","71","52","146","84","25","37",
"1400000US18097310111","Census Tract 3101.11, Marion County, Indiana","1003","127","0","12","28","36","224","115","141","95","157","88","108","79","36","35","95","62","211","107","3","9",
"1400000US18097310112","Census Tract 3101.12, Marion County, Indiana","199","98","0","17","33","29","0","17","50","59","17","28","8","14","39","42","0","17","0","17","52","57",
"1400000US18097310113","Census Tract 3101.13, Marion County, Indiana","24","31","0","12","0","12","11","19","0","12","0","12","13","24","0","12","0","12","0","12","0","12",
"1400000US18097310201","Census Tract 3102.01, Marion County, Indiana","469","118","0","12","57","62","74","54","16","14","74","52","45","45","46","70","74","73","83","76","0","12",
"1400000US18097310203","Census Tract 3102.03, Marion County, Indiana","934","228","53","81","32","39","113","118","88","80","63","83","182","120","46","57","144","158","213","151","0","17",
"1400000US18097310204","Census Tract 3102.04, Marion County, Indiana","683","161","32","38","17","20","99","72","74","59","18","21","34","32","16","25","60","105","321","128","12","19",
"1400000US18097310305","Census Tract 3103.05, Marion County, Indiana","1567","189","0","17","128","86","209","146","311","155","242","156","116","103","106","83","102","106","170","112","183","159",
"1400000US18097310306","Census Tract 3103.06, Marion County, Indiana","2088","488","81","89","265","236","338","204","535","459","32","37","162","148","115","117","107","80","247","181","206","160",
"1400000US18097310308","Census Tract 3103.08, Marion County, Indiana","191","133","0","12","0","12","19","32","33","37","0","12","33","54","0","12","25","29","81","90","0","12",
"1400000US18097310309","Census Tract 3103.09, Marion County, Indiana","1034","146","47","73","56","60","142","114","119","105","172","126","147","131","48","50","63","74","231","116","9","15",
"1400000US18097310310","Census Tract 3103.10, Marion County, Indiana","446","310","0","17","0","17","61","56","51","44","24","29","45","69","24","41","232","282","9","16","0","17",
"1400000US18097310311","Census Tract 3103.11, Marion County, Indiana","172","93","0","17","24","28","13","21","0","17","0","17","71","72","0","17","12","17","20","26","32","53",
"1400000US18097310312","Census Tract 3103.12, Marion County, Indiana","1580","334","17","30","70","87","181","139","348","264","46","56","192","173","40","46","270","178","359","210","57","93",
"1400000US18097320105","Census Tract 3201.05, Marion County, Indiana","995","178","0","12","155","117","126","87","100","133","174","131","45","46","65","63","17","29","287","147","26","41",
"1400000US18097320106","Census Tract 3201.06, Marion County, Indiana","690","458","8","12","0","12","64","59","361","477","14","14","54","47","8","13","34","42","147","79","0","12",
"1400000US18097320107","Census Tract 3201.07, Marion County, Indiana","169","108","0","12","77","101","23","22","25","18","5","7","0","12","4","7","4","6","13","19","18","20",
"1400000US18097320108","Census Tract 3201.08, Marion County, Indiana","2100","206","208","146","66","64","112","87","209","109","270","193","118","87","67","68","286","169","541","225","223","170",
"1400000US18097320109","Census Tract 3201.09, Marion County, Indiana","170","72","38","45","39","46","0","12","47","42","33","23","0","12","4","7","0","12","0","12","9","14",
"1400000US18097320202","Census Tract 3202.02, Marion County, Indiana","892","223","103","84","122","92","98","82","78","85","101","85","51","69","115","164","28","32","133","70","63","62",
"1400000US18097320203","Census Tract 3202.03, Marion County, Indiana","1316","170","85","79","60","36","255","93","176","92","133","67","107","56","93","62","78","55","329","152","0","12",
"1400000US18097320205","Census Tract 3202.05, Marion County, Indiana","1184","157","30","35","96","66","116","66","289","135","73","69","206","117","83","73","30","35","187","102","74","65",
"1400000US18097320206","Census Tract 3202.06, Marion County, Indiana","1103","336","0","12","99","89","101","88","87","70","287","305","97","82","105","90","34","35","262","152","31","49",
"1400000US18097320301","Census Tract 3203.01, Marion County, Indiana","284","79","19","23","42","32","66","49","26","22","13","14","29","38","16","17","9","13","64","47","0","12",
"1400000US18097320303","Census Tract 3203.03, Marion County, Indiana","1640","170","20","24","148","78","421","129","172","59","152","79","188","84","104","69","181","111","254","98","0","12",
"1400000US18097320305","Census Tract 3203.05, Marion County, Indiana","42","37","0","12","0","12","9","13","0","12","0","12","0","12","0","12","17","28","16","25","0","12",
"1400000US18097320306","Census Tract 3203.06, Marion County, Indiana","1271","209","16","24","177","109","166","85","170","113","266","188","52","62","23","25","40","43","272","153","89","100",
