route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
87-62,1610-Saturday-1-1610-0000010-,1112898,"Eastside Circulator",0,149801,870024
87-62,1610-Saturday-1-1610-0000010-,1112899,"Eastside Circulator",0,149801,870024
87-62,1610-Saturday-1-1610-0000010-,1112900,"Eastside Circulator",0,149801,870024
87-62,1610-Saturday-1-1610-0000010-,1112901,"Eastside Circulator",0,149801,870024
87-62,1610-Saturday-1-1610-0000010-,1112902,"Eastside Circulator",0,149801,870024
87-62,1610-Saturday-1-1610-0000010-,1112903,"Eastside Circulator",0,149801,870024
87-62,1610-Saturday-1-1610-0000010-,1112904,"Eastside Circulator",0,149827,870024
87-62,1610-Saturday-1-1610-0000010-,1112905,"Eastside Circulator",0,149827,870024
87-62,1610-Saturday-1-1610-0000010-,1112906,"Eastside Circulator",0,149826,870024
87-62,1610-Saturday-1-1610-0000010-,1112907,"Eastside Circulator",0,149824,870024
87-62,1610-Saturday-1-1610-0000010-,1112908,"Eastside Circulator",0,149824,870024
87-62,1610-Saturday-1-1610-0000010-,1112909,"Eastside Circulator",0,149824,870024
87-62,1610-Saturday-1-1610-0000010-,1112910,"Eastside Circulator",0,149824,870024
87-62,1610-Saturday-1-1610-0000010-,1112911,"Eastside Circulator",0,149824,870024
87-62,1610-Saturday-1-1610-0000010-,1112912,"Eastside Circulator",0,150697,870024
87-62,1610-Saturday-1-1610-0000010-,1112913,"Eastside Circulator",0,150697,870024
26-62,1610-Saturday-1-1610-0000010-,1112914,"Keystone Crossing",0,149803,260044
26-62,1610-Saturday-1-1610-0000010-,1112915,"Keystone Crossing",0,149802,260044
26-62,1610-Saturday-1-1610-0000010-,1112916,"Keystone Crossing",0,149803,260044
26-62,1610-Saturday-1-1610-0000010-,1112917,"Keystone Crossing",0,149802,260044
26-62,1610-Saturday-1-1610-0000010-,1112918,"Keystone Crossing",0,149803,260044
26-62,1610-Saturday-1-1610-0000010-,1112919,"Keystone Crossing",0,149850,260044
26-62,1610-Saturday-1-1610-0000010-,1112920,"Keystone Crossing",0,150697,260044
26-62,1610-Saturday-1-1610-0000010-,1112921,"Keystone Crossing",0,149850,260044
26-62,1610-Saturday-1-1610-0000010-,1112922,"Keystone Crossing",0,149848,260044
26-62,1610-Saturday-1-1610-0000010-,1112923,"Keystone Crossing",0,149835,260044
26-62,1610-Saturday-1-1610-0000010-,1112924,"Keystone Crossing",0,149848,260044
26-62,1610-Saturday-1-1610-0000010-,1112925,"Emerson & Thompson",1,149802,260043
26-62,1610-Saturday-1-1610-0000010-,1112926,"Emerson & Thompson",1,149803,260043
26-62,1610-Saturday-1-1610-0000010-,1112927,"Emerson & Thompson",1,149802,260043
26-62,1610-Saturday-1-1610-0000010-,1112928,"Emerson & Thompson",1,149803,260043
26-62,1610-Saturday-1-1610-0000010-,1112929,"Emerson & Thompson",1,149802,260043
26-62,1610-Saturday-1-1610-0000010-,1112930,"Emerson & Thompson",1,150697,260043
26-62,1610-Saturday-1-1610-0000010-,1112931,"Emerson & Thompson",1,149850,260043
26-62,1610-Saturday-1-1610-0000010-,1112932,"Emerson & Thompson",1,150697,260043
26-62,1610-Saturday-1-1610-0000010-,1112933,"Emerson & Thompson",1,149850,260043
26-62,1610-Saturday-1-1610-0000010-,1112934,"Emerson & Thompson",1,149848,260043
