year,tract_geoid,census_full_code,degree_sum,betweenness_sum,closeness_sum,eigen_or_katz_sum,pagerank_sum,degree_mean,betweenness_mean,closeness_mean,eigen_or_katz_mean,pagerank_mean,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B01003_001E,B01003_001M,B19013_001E,B19013_001M,B25001_001E,B25001_001M
2016,18081610201,1400000US18081610201,0.0027464982147761,0.0023410492043094,0.059957429608914,1.0970476662373181e-07,0.0013731925353253,0.0005492996429552,0.0004682098408618,0.0119914859217828,2.1940953324746363e-08,0.000274638507065,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,18081610300,1400000US18081610300,0.0145564405383136,0.0677081939864424,0.2688413006645883,2.79500965317715e-05,0.0065817281949288,0.0006328887190571,0.0029438345211496,0.0116887522028081,1.2152215883378914e-06,0.0002861620954316,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,18081610404,1400000US18081610404,0.0005492996429552,2.046795098154614e-05,0.0109338389359107,2.266672258527004e-08,0.000274447387648,0.0005492996429552,2.046795098154614e-05,0.0109338389359107,2.266672258527004e-08,0.000274447387648,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,18097310104,1400000US18097310104,0.0148310903597912,0.2577283941663909,0.3515684073773804,2.916906952805195e-06,0.0070582067329192,0.0005704265522996,0.0099126305448611,0.0135218618222069,1.1218872895404597e-07,0.0002714694897276,914,133,37,38,145,81,113,77,145,80,57,38,79,75,39,50,94,84,194,111,11,23,3157,277,46801,4702,2065,74
2016,18097310105,1400000US18097310105,0.0192254875034331,0.4095030998986776,0.4460630618639759,5.651104187509182e-06,0.0090365469568917,0.000582590530407,0.0124091848454144,0.0135170624807265,1.7124558143967218e-07,0.0002738347562694,730,90,9,14,43,35,156,86,49,32,152,81,51,57,51,39,64,54,135,74,20,23,3619,258,51039,3867,1633,57
2016,18097310106,1400000US18097310106,0.0079648448228508,0.1174445674627376,0.1907776489761675,1.251693979553267e-06,0.0038015591517473,0.0005689174873464,0.0083888976759098,0.0136269749268691,8.940671282523335e-08,0.0002715399394105,1810,150,43,44,179,86,146,101,320,136,266,132,187,129,81,58,302,154,243,123,43,41,3976,405,36507,2538,2205,92
2016,18097310110,1400000US18097310110,0.0021971985718209,0.0525131913326709,0.0604016115397934,1.364056597586525e-07,0.0010871563984874,0.0005492996429552,0.0131282978331677,0.0151004028849483,3.410141493966312e-08,0.0002717890996218,703,89,16,13,84,61,154,77,55,36,118,56,66,43,35,40,60,51,115,65,0,11,2841,256,49934,6795,1499,52
2016,18097310111,1400000US18097310111,0.0104366932161494,0.2470322723543291,0.2716373634643454,1.6590638944388317e-06,0.0048110121257272,0.0006139231303617,0.0145313101384899,0.0159786684390791,9.75919937905195e-08,0.000283000713278,1035,120,84,67,151,73,130,80,156,100,90,71,95,64,31,22,32,39,243,119,23,26,3805,338,47370,6737,1799,76
2016,18097310112,1400000US18097310112,0.0032957978577313,0.0074590789092299,0.0716843303560014,1.5026113488877148e-07,0.0016434540276721,0.0005492996429552,0.0012431798182049,0.0119473883926669,2.504352248146191e-08,0.000273909004612,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,18097310201,1400000US18097310201,0.0189508376819555,0.2800072901155198,0.450263105734185,1.59410319242162e-06,0.0093492059341084,0.000557377578881,0.0082355085328094,0.0132430325215936,4.6885388012400586e-08,0.0002749766451208,534,106,23,36,12,18,47,38,9,12,22,36,66,73,142,71,11,19,181,87,21,19,3633,413,59063,10723,1551,54
2016,18097310203,1400000US18097310203,0.0065915957154627,0.2123958631220009,0.1720576796104649,2.632990371959839e-07,0.0032956594724229,0.0005492996429552,0.0176996552601667,0.0143381399675387,2.1941586432998663e-08,0.0002746382893685,947,166,18,28,59,70,156,125,124,110,78,70,58,46,67,76,140,89,209,86,38,62,5642,482,42009,6778,2470,81
2016,18097310204,1400000US18097310204,0.0065915957154627,0.119426438362481,0.171278302384922,2.6329084356459093e-07,0.0032956620847809,0.0005492996429552,0.0099522031968734,0.0142731918654101,2.1940903630382582e-08,0.000274638507065,735,124,38,40,25,39,29,29,74,60,71,43,129,83,33,52,158,87,129,70,49,58,5886,532,57152,4314,1904,57
