year,tract_geoid,census_full_code,degree_sum,betweenness_sum,closeness_sum,eigen_or_katz_sum,pagerank_sum,degree_mean,betweenness_mean,closeness_mean,eigen_or_katz_mean,pagerank_mean,degree,betweenness,closeness,eigen_or_katz,pagerank,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B01003_001E,B01003_001M,B19013_001E,B19013_001M,B25001_001E,B25001_001M
2016,18081610201,1400000US18081610201,0.0027464982147761604,0.0023711937609218574,0.0008456084742873511,0.0,0.0013731915073634407,0.0005492996429552321,0.00047423875218437147,0.00016912169485747022,0.0,0.00027463830147268813,0.0005492996429552321,0.0011129354029656144,0.0001702019596305594,0.0,0.00027463850706507565,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,18081610300,1400000US18081610300,0.014556440538313651,0.11201932508579035,0.004462061946822183,0.0,0.006535586771534259,0.0006328887190571152,0.004870405438512624,0.00019400269334009492,0.0,0.00028415594658844605,0.0013732491073880802,0.03404043086822543,0.00020402291642242066,0.0,0.00046373050750024195,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,18081610404,1400000US18081610404,0.0005492996429552321,6.639885793964344e-06,0.00018119654414298133,0.0,0.0002745862843139965,0.0005492996429552321,6.639885793964344e-06,0.00018119654414298133,0.0,0.0002745862843139965,0.0005492996429552321,6.639885793964344e-06,0.00018119654414298133,0.0,0.0002745862843139965,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,18097310104,1400000US18097310104,0.014831090359791266,0.2530105091283339,0.003238076963992817,0.0,0.007339481634966274,0.0005704265522996641,0.009731173428012841,0.00012454142169203143,0.0,0.0002822877551910105,0.0008239494644328481,0.019311504205764024,0.00012953330583138044,0.0,0.0005331396243752682,914,133,37,38,145,81,113,77,145,80,57,38,79,75,39,50,94,84,194,111,11,23,3157,277,46801,4702,2065,74
2016,18097310105,1400000US18097310105,0.01922548750343312,0.45048750343312277,0.004040670110583806,0.0,0.008778705243061513,0.0005825905304070643,0.013651136467670386,0.00012244454880556987,0.0,0.000266021371001864,0.0010985992859104642,0.029342258949509703,0.000128147376255734,0.0,0.0005589029066418628,730,90,9,14,43,35,156,86,49,32,152,81,51,57,51,39,64,54,135,74,20,23,3619,258,51039,3867,1633,57
2016,18097310106,1400000US18097310106,0.007964844822850866,0.19560379197841432,0.001826453627747995,0.0,0.0038208853865147317,0.0005689174873464905,0.013971699427029595,0.00013046097341057108,0.0,0.00027292038475105226,0.0008239494644328481,0.03155500089034832,0.00013460725053447367,0.0,0.0003715794324114348,1810,150,43,44,179,86,146,101,320,136,266,132,187,129,81,58,302,154,243,123,43,41,3976,405,36507,2538,2205,92
2016,18097310110,1400000US18097310110,0.0021971985718209283,0.0306548436457802,0.0005620607915399449,0.0,0.0010592980375821524,0.0005492996429552321,0.00766371091144505,0.00014051519788498622,0.0,0.0002648245093955381,0.0005492996429552321,0.00820282436596636,0.0001409983751536712,0.0,0.0002685275908912689,703,89,16,13,84,61,154,77,55,36,118,56,66,43,35,40,60,51,115,65,0,11,2841,256,49934,6795,1499,52
2016,18097310111,1400000US18097310111,0.01043669321614941,0.12074451228529778,0.002390826254884085,0.0,0.005082225577255502,0.0006139231303617299,0.007102618369723399,0.00014063683852259324,0.0,0.0002989544457209119,0.0008239494644328481,0.014766728739538408,0.00014560647692490915,0.0,0.0004032857411093943,1035,120,84,67,151,73,130,80,156,100,90,71,95,64,31,22,32,39,243,119,23,26,3805,338,47370,6737,1799,76
2016,18097310112,1400000US18097310112,0.0032957978577313925,0.006017094687789552,0.0006616446529405815,0.0,0.0016520565277839926,0.0005492996429552321,0.0010028491146315919,0.00011027410882343024,0.0,0.00027534275463066545,0.0005492996429552321,0.002132157872339141,0.00011238870151897446,0.0,0.0002786626526017803,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,18097310201,1400000US18097310201,0.018950837681955508,0.2998968554104506,0.004114038871989988,0.0,0.00938757850096676,0.0005573775788810443,0.008820495747366194,0.00012100114329382317,0.0,0.0002761052500284341,0.0008239494644328481,0.01997307828123538,0.00013408739183423768,0.0,0.0003023101392070188,534,106,23,36,12,18,47,38,9,12,22,36,66,73,142,71,11,19,181,87,21,19,3633,413,59063,10723,1551,54
