stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
39.869678,11542,-86.140519,11542,,,,Broad Ripple Ave & Private Dr,0,
39.869606,11543,-86.138634,11543,,,,Broad Ripple Ave & Compton St,0,
39.869684,11540,-86.143209,11540,,,,Broad Ripple Ave & Guilford Ave,0,
39.868588,11546,-86.133165,11546,,,,Broad Ripple Ave & Primrose Ave,0,
39.868606,11547,-86.130821,11547,,,,Broad Ripple Ave & Kingsley Dr,0,
39.869053,11544,-86.136225,11544,,,,Broad Ripple Ave & Haverford Ave,0,
39.868644,11545,-86.134295,11545,,,,Broad Ripple Ave & Rosslyn Ave,0,
39.868618,11549,-86.128406,11549,,,,Broad Ripple Ave & Crittenden Ave,0,
39.780584,10899,-86.216965,10899,,,,10th St & Alton Ave,0,
39.780634,10898,-86.213346,10898,,,,10th St & Centennial St,0,
39.774802,51269,-86.194722,51269,,,,Michigan St & Lynn St,0,
39.780733,10893,-86.205071,10893,,,,10th St & Holmes Ave,0,
39.780764,10892,-86.203751,10892,,,,10th St & King Ave,0,
39.780773,10891,-86.201809,10891,,,,10th St & Mount St,0,
39.780796,10890,-86.199307,10890,,,,10th St & Pershing Ave,0,
39.780655,10897,-86.21177,10897,,,,10th St & Goodlet Ave,0,
39.780681,10896,-86.210461,10896,,,,10th St & Concord Ct,0,
39.780719,10895,-86.208227,10895,,,,10th St & Sharon Ave,0,
39.780735,10894,-86.207156,10894,,,,10th St & Winfield Ave,0,
39.771792,50648,-86.050255,50648,,,,Washington St & Edmondson Ave,0,
39.772305,50649,-86.039396,50649,,,,Washington St & Shortridge Rd,0,
39.770994,50642,-86.065591,50642,,,,Washington St & Campbell Ave,0,
39.771132,50643,-86.062948,50643,,,,Washington St & Webster Ave,0,
39.770749,50640,-86.070495,50640,,,,Washington St & Audubon Rd,0,
39.770902,50641,-86.067405,50641,,,,Washington St & Bolton Ave,0,
39.771578,50646,-86.05421,50646,,,,Washington St & Kitley Ave,0,
39.771685,50647,-86.05204,50647,,,,Washington St & Irwin St,0,
39.771297,50644,-86.059669,50644,,,,Washington St & Sheridan Ave,0,
39.771417,50645,-86.057276,50645,,,,Washington St & Ridgeview Dr,0,
39.773932,51285,-86.226318,51285,,,,3800 W Michigan St - Michigan Plaza,0,
39.773772,51287,-86.232031,51287,,,,Michigan St & Rybolt Ave,0,
39.773895,51286,-86.228744,51286,,,,Michigan St & Holt Rd,0,
39.773985,51281,-86.218662,51281,,,,Michigan St & Berwick Ave,0,
39.774102,51280,-86.216429,51280,,,,Michigan St & Tibbs Ave,0,
39.773921,51283,-86.221729,51283,,,,Michigan St & Somerset Ave,0,
39.840304,52269,-86.124135,52269,,,,46th St & Hillside Ave,0,
39.840622,52266,-86.118753,52266,,,,Penwood Dr & 46th St,0,
39.840363,52267,-86.121144,52267,,,,46th St & Keystone Ave,0,
39.843093,52264,-86.120816,52264,,,,Kingsway Dr & Willowbrook Pkwy,0,
39.842299,52265,-86.11939,52265,,,,Willowbrook Pkwy & Forum Cir,0,
39.847604,52262,-86.120604,52262,,,,52nd St & Tacoma Ave,0,
39.773278,51288,-86.234346,51288,,,,Gasoline Alley & Grande Ave,0,
39.847587,52260,-86.125715,52260,,,,52nd St & Caroline St,0,
39.847583,52261,-86.123856,52261,,,,52nd St & Keystone Ct,0,
39.784438,50388,-86.179897,50388,,,,Indiana Ave & Waterway Blvd,0,
39.787191,10967,-86.252064,10967,,,,16th St & Biltmore Ave,0,
39.787169,10966,-86.254167,10966,,,,16th St & Norfolk St,0,
39.787131,10965,-86.256248,10965,,,,16th St & Whitcomb Ave,0,
39.7883,10964,-86.258938,10964,,,,Cunningham Rd & Cadillac Dr,0,
39.790899,10963,-86.26033,10963,,,,Cunningham Rd & Buick Dr,0,
39.793573,10962,-86.26178,10962,,,,Cunningham Rd & Clark Rd,0,
39.796435,10961,-86.263638,10961,,,,Cunningham Rd & Augusta Dr N,0,
39.797561,10960,-86.264676,10960,,,,Cunningham Rd - 2200 N,0,
39.787248,10969,-86.247812,10969,,,,16th St & Winton Ave,0,
39.78722,10968,-86.250004,10968,,,,16th St & Lynhurst Dr,0,
39.79108,51609,-86.120417,51609,,,,Brookside Ave & Tacoma Ave,0,
39.789036,51608,-86.124169,51608,,,,Brookside Ave & Beville Ave,0,
39.782661,51601,-86.135346,51601,,,,Brookside Ave & 12th St,0,
39.781487,51600,-86.137099,51600,,,,Brookside Ave & 10th St,0,
39.783626,51602,-86.133651,51602,,,,Brookside Ave & Arsenal Ave,0,
39.78785,51604,-86.127659,51604,,,,Hamilton Ave & Massachusetts Ave,0,
39.842552,52861,-86.159491,52861,,,,49th St & Illinois Ave,0,
39.781311,10866,-86.135265,10866,,,,10th St & Oriental St,0,
39.810331,51843,-86.145422,51843,,,,30th St & College Ave,0,
39.810281,51842,-86.147401,51842,,,,30th St & Park Ave,0,
39.808432,51840,-86.149755,51840,,,,29th St & Central Ave,0,
39.810662,51846,-86.136148,51846,,,,30th St & A J Brown Ave,0,
39.810641,51845,-86.138729,51845,,,,30th St & Mac Pherson St,0,
39.810625,51844,-86.140583,51844,,,,30th St & Guilford Ave,0,
39.847056,52393,-86.141617,52393,,,,52nd St & Winthrop Ave,0,
39.810711,51848,-86.132254,51848,,,,30th St & Hovey St,0,
39.847009,52396,-86.145559,52396,,,,52nd St & College Ave,0,
39.846974,52397,-86.146891,52397,,,,52nd St & Broadway St,0,
39.847022,52395,-86.144598,52395,,,,52nd St & Carrollton Ave,0,
39.78781,12018,-86.22104,12018,,,,16th St & Rochester Ave,0,
39.787933,12015,-86.213579,12015,,,,16th St & Centennial St,0,
39.787962,12014,-86.210878,12014,,,,16th St & Kessler Blvd N Dr,0,
39.787855,12017,-86.218453,12017,,,,16th St & Berwick Ave,0,
39.787911,12016,-86.216471,12016,,,,16th St & Tibbs Ave,0,
39.788009,12011,-86.20616,12011,,,,16th St & Warman Ave,0,
39.788041,12010,-86.203438,12010,,,,16th St & Belleview Pl,0,
39.787985,12013,-86.208273,12013,,,,16th St & Sharon Ave,0,
39.771663,51115,-86.121667,51115,,,,New York St & Keystone Ave,0,
39.771338,51114,-86.123436,51114,,,,New York St & Bellive Ave,0,
39.821451,11768,-86.121664,11768,,,,Keystone Ave & 36th St,0,
39.825102,11769,-86.121709,11769,,,,Keystone Ave & 38th St,0,
39.771065,51110,-86.128486,51110,,,,New York St & Randolph St,0,
39.771123,51113,-86.12558,51113,,,,New York St & Hamilton Ave,0,
39.805159,11762,-86.121503,11762,,,,Keystone Ave & 27th St,0,
39.807311,11763,-86.121524,11763,,,,Keystone Ave & 28th St,0,
39.794955,11760,-86.116578,11760,,,,Rural St & Roosevelt Ave,0,
39.803259,11761,-86.121483,11761,,,,Keystone Ave & 25th St,0,
39.814361,11766,-86.121578,11766,,,,Keystone Ave & 32nd St,0,
39.818687,11767,-86.121621,11767,,,,Keystone Ave & 34th St,0,
39.808815,11764,-86.121502,11764,,,,Keystone Ave & 29th St,0,
39.811168,11765,-86.121521,11765,,,,Keystone Ave & 30th St,0,
39.739234,12525,-86.149371,12525,,,,East St & Lagrande Ave,0,
39.781262,10709,-86.131685,10709,,,,10th St & Newman St,0,
39.781257,10708,-86.13355,10708,,,,10th St & Arsenal Ave,0,
39.73725,12524,-86.149151,12524,,,,Raymond St & East St,0,
39.780663,10703,-86.145327,10703,,,,10th St & College Ave,0,
39.780765,10702,-86.148576,10702,,,,10th St & East St,0,
39.780413,10701,-86.150093,10701,,,,Fort Wayne Ave & New Jersey St,0,
