block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
b_171776,38-78,1,Eagle Creek Pkwy,380097,1810-Sunday-2-1810-0000001-,1384465
b_171773,38-78,1,Eagle Creek Pkwy,380097,1810-Sunday-2-1810-0000001-,1384464
b_171775,38-78,1,Eagle Creek Pkwy,380097,1810-Sunday-2-1810-0000001-,1384467
b_171774,38-78,1,Eagle Creek Pkwy,380097,1810-Sunday-2-1810-0000001-,1384466
b_171773,38-78,0,Downtown,380084,1810-Sunday-2-1810-0000001-,1384461
b_171775,38-78,0,Downtown,380084,1810-Sunday-2-1810-0000001-,1384460
b_171775,38-78,1,Eagle Creek Pkwy,380097,1810-Sunday-2-1810-0000001-,1384463
b_171776,38-78,0,Downtown,380084,1810-Sunday-2-1810-0000001-,1384462
b_171776,38-78,1,Eagle Creek Pkwy,380097,1810-Sunday-2-1810-0000001-,1384469
b_171773,38-78,1,Eagle Creek Pkwy,380097,1810-Sunday-2-1810-0000001-,1384468
a_170634,8-77,0,Meijer,80306,1806-Saturday-3-1806-0000010-,1370248
a_170637,8-77,0,Meijer,80306,1806-Saturday-3-1806-0000010-,1370249
a_170639,8-77,0,Meijer,80306,1806-Saturday-3-1806-0000010-,1370246
a_170632,8-77,0,Meijer,80306,1806-Saturday-3-1806-0000010-,1370247
a_170640,8-77,0,Meijer,80306,1806-Saturday-3-1806-0000010-,1370244
a_170638,8-77,0,Meijer,80306,1806-Saturday-3-1806-0000010-,1370245
a_170642,8-77,0,Meijer,80306,1806-Saturday-3-1806-0000010-,1370242
a_170645,8-77,0,Meijer,80306,1806-Saturday-3-1806-0000010-,1370243
a_170641,8-77,0,Meijer,80306,1806-Saturday-3-1806-0000010-,1370240
a_170644,8-77,0,Meijer,80306,1806-Saturday-3-1806-0000010-,1370241
b_171405,87-78,0,Eastside Circulator,870036,1810-Sunday-1-1810-0000001-,1379289
b_171214,8-78,0,Meijer,80299,1810-Saturday-1-1810-0000010-,1378007
b_171405,87-78,0,Eastside Circulator,870036,1810-Sunday-1-1810-0000001-,1379288
b_171859,8-78,1,Indy Zoo,80307,1810-Sunday-3-1810-0000001-,1385624
b_171851,8-78,1,Indy Zoo,80307,1810-Sunday-3-1810-0000001-,1385625
a_170721,8-77,0,Meijer,80303,1806-Sunday-7-1806-0000001-,1370659
a_170723,8-77,0,Meijer,80303,1806-Sunday-7-1806-0000001-,1370658
a_170728,8-77,0,Meijer,80303,1806-Sunday-7-1806-0000001-,1370655
a_170733,8-77,0,Meijer,80303,1806-Sunday-7-1806-0000001-,1370654
a_170724,8-77,0,Meijer,80303,1806-Sunday-7-1806-0000001-,1370657
a_170722,8-77,0,Meijer,80303,1806-Sunday-7-1806-0000001-,1370656
a_170732,8-77,0,Meijer,80303,1806-Sunday-7-1806-0000001-,1370651
a_170730,8-77,0,Meijer,80303,1806-Sunday-7-1806-0000001-,1370650
a_170731,8-77,0,Meijer,80303,1806-Sunday-7-1806-0000001-,1370653
a_170729,8-77,0,Meijer,80303,1806-Sunday-7-1806-0000001-,1370652
b_171861,8-78,1,Indy Zoo,80307,1810-Sunday-3-1810-0000001-,1385623
b_171393,39-78,0,Downtown,390168,1810-Sunday-1-1810-0000001-,1379357
b_171391,10-78,1,Girl Sch Rd,100967,1810-Sunday-1-1810-0000001-,1379354
b_171390,10-78,1,High Sch Rd,100968,1810-Sunday-1-1810-0000001-,1379352
b_171392,39-78,0,Downtown,390166,1810-Sunday-1-1810-0000001-,1379359
b_171396,39-78,0,Downtown,390168,1810-Sunday-1-1810-0000001-,1379358
b_171932,86-78,1,Traders Point,860039,1810-Saturday-2-1810-0000010-,1386566
b_171930,86-78,1,Traders Point,860039,1810-Saturday-2-1810-0000010-,1386567
b_171931,86-78,1,Traders Point,860039,1810-Saturday-2-1810-0000010-,1386564
b_171929,86-78,1,Traders Point,860039,1810-Saturday-2-1810-0000010-,1386565
b_172012,86-78,1,Traders Point,860039,1810-Saturday-2-1810-0000010-,1386562
b_171931,86-78,0,Community North,860038,1810-Saturday-2-1810-0000010-,1386563
a_170554,10-77,1,High Sch Rd,100964,1806-Sunday-6-1806-0000001-,1368788
a_170545,10-77,1,High Sch Rd,100964,1806-Sunday-6-1806-0000001-,1368789
a_170541,10-77,1,High Sch Rd,100964,1806-Sunday-6-1806-0000001-,1368786
a_170540,10-77,1,High Sch Rd,100964,1806-Sunday-6-1806-0000001-,1368787
a_170542,10-77,1,High Sch Rd,100964,1806-Sunday-6-1806-0000001-,1368784
a_170544,10-77,1,High Sch Rd,100964,1806-Sunday-6-1806-0000001-,1368785
a_170545,10-77,1,High Sch Rd,100964,1806-Sunday-6-1806-0000001-,1368782
a_170543,10-77,1,High Sch Rd,100964,1806-Sunday-6-1806-0000001-,1368783
b_171931,86-78,1,Traders Point,860039,1810-Saturday-2-1810-0000010-,1386568
a_170554,10-77,1,High Sch Rd,100964,1806-Sunday-6-1806-0000001-,1368781
b_171990,10-78,0,Walmart E.Washington,100983,1810-Saturday-2-1810-0000010-,1387617
b_171992,10-78,0,Walmart E.Washington,100983,1810-Saturday-2-1810-0000010-,1387616
b_171993,10-78,0,Walmart E.Washington,100983,1810-Saturday-2-1810-0000010-,1387615
b_171989,10-78,1,High Sch Rd,100964,1810-Saturday-2-1810-0000010-,1387614
b_171991,10-78,1,Girl Sch Rd,100963,1810-Saturday-2-1810-0000010-,1387613
b_171992,10-78,0,Walmart E.Washington,100985,1810-Saturday-2-1810-0000010-,1387612
b_171993,10-78,0,Walmart E.Washington,100985,1810-Saturday-2-1810-0000010-,1387611
b_171991,10-78,0,Walmart E.Washington,100985,1810-Saturday-2-1810-0000010-,1387610
b_171807,37-78,0,Downtown,370113,1810-Sunday-2-1810-0000001-,1384857
b_171996,10-78,0,Walmart E.Washington,100983,1810-Saturday-2-1810-0000010-,1387619
b_171998,10-78,0,Walmart E.Washington,100983,1810-Saturday-2-1810-0000010-,1387618
a_170422,31-77,0,Downtown,310129,1806-Weekday-4-1806-1111100-,1367318
a_170543,10-77,0,Walmart E.Washington,100981,1806-Sunday-6-1806-0000001-,1368879
b_171945,4-78,0,Downtown,40200,1810-Saturday-2-1810-0000010-,1386692
b_171936,4-78,0,Downtown,40201,1810-Saturday-2-1810-0000010-,1386693
b_171936,4-78,0,Downtown,40200,1810-Saturday-2-1810-0000010-,1386694
b_171936,4-78,0,Downtown,40201,1810-Saturday-2-1810-0000010-,1386695
b_171945,4-78,0,Downtown,40200,1810-Saturday-2-1810-0000010-,1386696
b_171936,4-78,1,Community Hosp North,40214,1810-Saturday-2-1810-0000010-,1386697
a_170366,31-77,0,Downtown,310120,1806-Weekday-4-1806-1111100-,1367310
a_170540,10-77,0,Shortridge Rd,100982,1806-Sunday-6-1806-0000001-,1368871
a_170418,31-77,0,Downtown,310120,1806-Weekday-4-1806-1111100-,1367312
a_170554,10-77,0,Shortridge Rd,100982,1806-Sunday-6-1806-0000001-,1368873
a_170419,31-77,0,Downtown,310120,1806-Weekday-4-1806-1111100-,1367314
a_170418,31-77,0,Downtown,310120,1806-Weekday-4-1806-1111100-,1367315
a_170366,31-77,0,Downtown,310129,1806-Weekday-4-1806-1111100-,1367316
a_170419,31-77,0,Downtown,310129,1806-Weekday-4-1806-1111100-,1367317
b_171404,87-78,0,Eastside Circulator,870036,1810-Sunday-1-1810-0000001-,1379281
b_171404,87-78,0,Eastside Circulator,870036,1810-Sunday-1-1810-0000001-,1379280
b_171757,2-78,1,Western Select,20177,1810-Sunday-2-1810-0000001-,1384120
b_171766,2-78,1,Western Select,20177,1810-Sunday-2-1810-0000001-,1384121
b_171756,2-78,1,Western Select,20177,1810-Sunday-2-1810-0000001-,1384122
b_171757,2-78,1,Western Select,20177,1810-Sunday-2-1810-0000001-,1384123
b_171766,2-78,1,Western Select,20177,1810-Sunday-2-1810-0000001-,1384124
b_171756,2-78,1,Western Select,20177,1810-Sunday-2-1810-0000001-,1384125
b_171757,2-78,1,Western Select,20177,1810-Sunday-2-1810-0000001-,1384126
b_171766,2-78,1,Western Select,20177,1810-Sunday-2-1810-0000001-,1384127
b_171766,2-78,1,Western Select,20177,1810-Sunday-2-1810-0000001-,1384128
b_171756,2-78,1,Western Select,20177,1810-Sunday-2-1810-0000001-,1384129
b_171194,2-78,0,Downtown,20191,1810-Saturday-1-1810-0000010-,1377298
b_171165,2-78,0,Downtown,20191,1810-Saturday-1-1810-0000010-,1377299
b_171790,39-78,1,via 38th,390169,1810-Sunday-2-1810-0000001-,1384698
b_171784,39-78,1,via 38th,390169,1810-Sunday-2-1810-0000001-,1384699
b_171809,3-78,0,Arlington & 46th,30223,1810-Sunday-2-1810-0000001-,1384878
b_171810,3-78,0,Arlington & 46th,30223,1810-Sunday-2-1810-0000001-,1384879
b_171165,2-78,1,Western Select,20177,1810-Saturday-1-1810-0000010-,1377290
b_171785,39-78,0,Downtown,390166,1810-Sunday-2-1810-0000001-,1384693
b_171194,2-78,0,Downtown,20191,1810-Saturday-1-1810-0000010-,1377292
b_171165,2-78,0,Downtown,20191,1810-Saturday-1-1810-0000010-,1377293
b_171181,2-78,0,Downtown,20191,1810-Saturday-1-1810-0000010-,1377294
