year,tract_geoid,census_full_code,degree_sum,betweenness_sum,closeness_sum,eigen_or_katz_sum,pagerank_sum,degree_mean,betweenness_mean,closeness_mean,eigen_or_katz_mean,pagerank_mean,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25001_001E,B25001_001M
2016,18081610201,1400000US18081610201,0.0027464982147761604,0.0023410492043094435,0.05995742960891409,1.0970476662373181e-07,0.0013731925353253783,0.0005492996429552321,0.0004682098408618887,0.011991485921782818,2.1940953324746363e-08,0.00027463850706507565,,,,,,,,,,,,,,,,,,,,,,,,
2016,18081610300,1400000US18081610300,0.014556440538313651,0.06770819398644246,0.26884130066458833,2.79500965317715e-05,0.00658172819492888,0.0006328887190571152,0.002943834521149672,0.011688752202808189,1.2152215883378914e-06,0.0002861620954316904,,,,,,,,,,,,,,,,,,,,,,,,
2016,18081610404,1400000US18081610404,0.0005492996429552321,2.046795098154614e-05,0.010933838935910767,2.2666722585270042e-08,0.00027444738764805757,0.0005492996429552321,2.046795098154614e-05,0.010933838935910767,2.2666722585270042e-08,0.00027444738764805757,,,,,,,,,,,,,,,,,,,,,,,,
2016,18097310104,1400000US18097310104,0.014831090359791266,0.25772839416639093,0.35156840737738043,2.916906952805195e-06,0.007058206732919217,0.0005704265522996641,0.00991263054486119,0.01352186182220694,1.1218872895404596e-07,0.00027146948972766216,914,133,37,38,145,81,113,77,145,80,57,38,79,75,39,50,94,84,194,111,11,23,2065,74
2016,18097310105,1400000US18097310105,0.01922548750343312,0.40950309989867767,0.4460630618639759,5.651104187509182e-06,0.009036546956891787,0.0005825905304070643,0.012409184845414475,0.013517062480726542,1.7124558143967218e-07,0.0002738347562694481,730,90,9,14,43,35,156,86,49,32,152,81,51,57,51,39,64,54,135,74,20,23,1633,57
2016,18097310106,1400000US18097310106,0.007964844822850866,0.11744456746273761,0.19077764897616753,1.251693979553267e-06,0.0038015591517473694,0.0005689174873464905,0.00838889767590983,0.01362697492686911,8.940671282523335e-08,0.00027153993941052637,1810,150,43,44,179,86,146,101,320,136,266,132,187,129,81,58,302,154,243,123,43,41,2205,92
2016,18097310110,1400000US18097310110,0.0021971985718209283,0.052513191332670975,0.06040161153979341,1.364056597586525e-07,0.001087156398487472,0.0005492996429552321,0.013128297833167744,0.015100402884948353,3.410141493966312e-08,0.000271789099621868,703,89,16,13,84,61,154,77,55,36,118,56,66,43,35,40,60,51,115,65,0,11,1499,52
2016,18097310111,1400000US18097310111,0.01043669321614941,0.24703227235432915,0.2716373634643454,1.6590638944388315e-06,0.004811012125727249,0.0006139231303617299,0.014531310138489949,0.015978668439079143,9.75919937905195e-08,0.0002830007132780735,1035,120,84,67,151,73,130,80,156,100,90,71,95,64,31,22,32,39,243,119,23,26,1799,76
2016,18097310112,1400000US18097310112,0.0032957978577313925,0.0074590789092299666,0.07168433035600143,1.5026113488877146e-07,0.0016434540276721353,0.0005492996429552321,0.0012431798182049945,0.011947388392666904,2.504352248146191e-08,0.00027390900461202254,,,,,,,,,,,,,,,,,,,,,,,,
2016,18097310201,1400000US18097310201,0.018950837681955508,0.28000729011551984,0.450263105734185,1.59410319242162e-06,0.009349205934108417,0.0005573775788810443,0.008235508532809407,0.013243032521593676,4.6885388012400586e-08,0.0002749766451208358,534,106,23,36,12,18,47,38,9,12,22,36,66,73,142,71,11,19,181,87,21,19,1551,54
2016,18097310203,1400000US18097310203,0.006591595715462785,0.21239586312200096,0.17205767961046492,2.632990371959839e-07,0.0032956594724229756,0.0005492996429552321,0.017699655260166747,0.014338139967538743,2.194158643299866e-08,0.0002746382893685813,947,166,18,28,59,70,156,125,124,110,78,70,58,46,67,76,140,89,209,86,38,62,2470,81
2016,18097310204,1400000US18097310204,0.006591595715462785,0.11942643836248107,0.17127830238492206,2.6329084356459093e-07,0.0032956620847809075,0.0005492996429552321,0.009952203196873422,0.014273191865410172,2.194090363038258e-08,0.00027463850706507565,735,124,38,40,25,39,29,29,74,60,71,43,129,83,33,52,158,87,129,70,49,58,1904,57
2016,18097310305,1400000US18097310305,0.007140895358418017,0.09832001636139974,0.15660125744748526,5.196183800917035e-06,0.0031764139324285687,0.0006491723053107288,0.008938183305581795,0.014236477949771387,4.723803455379123e-07,0.0002887649029480517,1589,177,15,25,28,32,235,97,172,96,255,112,206,117,44,40,132,96,396,165,106,71,2696,86
2016,18097310306,1400000US18097310306,0.023619884647074978,0.5268098170021763,0.6348173842590478,9.499105189450097e-06,0.011282963705556046,0.0005760947474896336,0.01284901992688235,0.01548335083558653,2.3168549242561212e-07,0.00027519423672087915,1586,164,51,48,125,78,137,77,96,69,223,120,163,105,22,27,339,157,387,176,43,49,2459,73
2016,18097310308,1400000US18097310308,0.0021971985718209283,0.11736820686884267,0.06514963156063984,8.782140425792012e-08,0.0010985306074733582,0.0005492996429552321,0.029342051717210667,0.01628740789015996,2.195535106448003e-08,0.00027463265186833955,421,99,27,36,28,46,81,59,35,43,23,36,24,39,70,64,53,42,80,69,0,11,1269,39
2016,18097310309,1400000US18097310309,0.0021971985718209283,0.03622790249483637,0.054499148250024596,8.77636144795797e-08,0.0010985540282603026,0.0005492996429552321,0.009056975623709093,0.013624787062506149,2.1940903619894925e-08,0.00027463850706507565,1230,112,9,14,117,82,176,70,141,71,220,114,115,73,84,70,131,84,207,80,30,38,1687,69
2016,18097310312,1400000US18097310312,0.006591595715462785,0.25140419210212583,0.18894468859573624,2.98338376753024e-07,0.003290774385822171,0.0005492996429552321,0.02095034934184382,0.015745390716311352,2.4861531396085332e-08,0.0002742311988185142,1595,250,144,90,61,47,190,128,299,157,71,70,235,175,123,147,70,59,385,146,17,29,2935,95
2016,18097320105,1400000US18097320105,0.0019225487503433123,0.03817150105371795,0.027811351675154312,9.792311575603376e-07,0.0008070641466145091,0.0009612743751716561,0.019085750526858975,0.013905675837577156,4.896155787801688e-07,0.00040353207330725454,960,143,19,32,126,71,120,79,177,101,103,59,129,99,64,61,105,66,76,44,41,42,2187,52
2016,18097320106,1400000US18097320106,0.0005492996429552321,0.018463411737474695,0.014054426717891186,2.326364847907781e-07,0.0002513865242344051,0.0005492996429552321,0.018463411737474695,0.014054426717891186,2.326364847907781e-07,0.0002513865242344051,374,85,0,11,21,21,9,15,39,42,96,62,42,45,17,26,60,49,46,43,44,36,1122,48
2016,18097320107,1400000US18097320107,0.0010985992859104642,0.03906355992221658,0.02889731526739541,1.4916027425303691e-07,0.0005210075662213268,0.0005492996429552321,0.01953177996110829,0.014448657633697706,7.458013712651846e-08,0.0002605037831106634,138,54,27,24,12,10,32,25,23,27,7,12,5,8,5,7,27,34,0,11,0,11,857,27
2016,18097320108,1400000US18097320108,0.015655039824224115,0.16183593286142206,0.36614161438971304,2.747679725206601e-06,0.007372857196747234,0.0005798162897860783,0.005993923439311928,0.013560800532952335,1.0176591574839263e-07,0.00027306878506471236,1930,210,13,20,205,111,166,105,343,152,135,100,144,100,116,75,296,182,512,188,0,11,2714,84
2016,18097320109,1400000US18097320109,0.0016478989288656962,0.05894535337220211,0.04292898629209012,2.6867207875942544e-07,0.0007854296507875638,0.0005492996429552321,0.01964845112406737,0.014309662097363373,8.955735958647515e-08,0.00026180988359585463,250,56,8,12,26,26,14,18,31,37,41,38,22,21,24,40,0,11,16,17,68,63,1234,42
2016,18097320202,1400000US18097320202,0.015380390002746498,0.40558233837160224,0.4063631819968215,1.977200486019824e-05,0.007214600404806752,0.0005696440741757963,0.01502156808783712,0.015050488222104499,7.322964763036384e-07,0.0002672074224002501,596,139,41,49,57,47,98,46,64,66,65,43,6,10,8,12,69,59,69,34,119,83,2156,51
2016,18097320205,1400000US18097320205,0.006316945893985169,0.09744243068189476,0.107619760011553,3.890796927131006e-05,0.0023430793028485293,0.0009024208419978813,0.01392034724027068,0.015374251430221858,5.5582813244728665e-06,0.00033472561469264706,,,,,,,,,,,,,,,,,,,,,,,,
2016,18097320206,1400000US18097320206,0.004669046965119473,0.14055611167461826,0.11757019351534899,2.5038238048488575e-06,0.002190456870051216,0.0005836308706399341,0.017569513959327283,0.014696274189418624,3.129779756061072e-07,0.000273807108756402,,,,,,,,,,,,,,,,,,,,,,,,
2016,18097320301,1400000US18097320301,0.0010985992859104642,0.04074313873570562,0.031116287718293466,8.840961348342507e-07,0.0005177142117062639,0.0005492996429552321,0.02037156936785281,0.015558143859146733,4.4204806741712534e-07,0.00025885710585313196,520,79,5,8,140,78,98,52,60,41,29,26,37,43,8,13,7,11,76,45,60,58,1953,76
